공원명,일련번호,수계명,세부지점명,위치,X좌표,Y좌표,고도,작동여부
주왕산,주왕-2,,,월외계곡,129.1531,36.39413333,,작동
주왕산,주왕-1,,,주왕계곡,129.1531,36.39413333,,작동
태안해안,태안-1,,,학암포 습지,126.2124,36.89733333,0,작동
태안해안,태안-2,,,몽산포,126.29273333,36.6662,5,작동
태안해안,태안-3,,,안면도(창기리),126.34773333,36.5501,0,작동
태안해안,태안-4,,,안면도(바람아래),126.37786666,36.4118,0,작동
다도해해상,다도-2,,,나로도 상록수림 천연기념물지역,127.46886666,34.47136666,,작동
다도해해상,다도-4,,,정도리 상록수림,126.7061,34.24873333,,작동
다도해해상,다도-3,,,거문도분소 뒤 곰솔-동백나무 군락,127.3035,34.01826666,,작동
다도해해상,다도-1,,,향일암 부근 동백나무림,127.8018,34.59573333,,작동
다도해서부,다서-2,,,우이도 풍성사구,125.82556666,34.6131,,작동
다도해서부,다서-1,,,홍도 깃대봉 탐방로,125.19363333,34.68613333,,작동
치악산,치악-1,,,1번 고정조사구(구룡),128.04863333,37.404,,작동
치악산,치악-8,,,특별보호구 성황림(성남),128.08326666,37.2659,,작동
치악산,치악-5,,,구렁이증식장(구룡),128.0538,37.39463333,,작동
치악산,치악-6,,,18번 고정조사구(금대),128.03156666,37.3047,,작동
치악산,치악-7,,,19번 고정조사구(성남),128.07636666,37.29253333,,작동
치악산,치악-3,,,10번 고정조사구(부곡),128.0576,37.33783333,,작동
치악산,치악-4,,,비로봉(구룡),128.0545,37.3653,,작동
치악산,치악-2,,,금강초롱꽃 자생지(구룡),128.0542,37.3656,,작동
월악산,월악-11,,,대미산(눈문샘),128.2209722,36.8143333,980m,작동
월악산,월악-14,,,명전계곡,128.2664,36.8425333333333,235m,작동
월악산,월악-13,,,고무서리,128.08883333,36.8589,232m,작동
월악산,월악-12,,,대미산(계곡부),128.23363333,36.81796666,591m,작동
월악산,월악-15,,,만수골,128.1048611,36.8323056,440m,작동
월악산,월악-10,,,지릅재,128.0773333,36.8262778,475m,작동
월악산,월악-9,,,문안골,128.28873333,36.83853333,386m,작동
월악산,월악-8,,,금수산,128.2606,36.98473333,747m,작동
월악산,월악-7,,,중봉 하단부,128.08583333,36.89253333,259m,작동
월악산,월악-6,,,영봉 상단부(삼거리),128.1075,36.87956666,909m,작동
월악산,월악-5,,,영봉 중하단부,128.1023,36.87956666,747m,작동
월악산,월악-4,,,영봉 중하단부,128.09573333,36.88256666,524m,작동
월악산,월악-3,,,영봉 아랫쉼터,128.09373333,36.88353333,452m,작동
월악산,월악-2,,,영봉 지장터,128.08913333,36.88256666,318m,작동
월악산,월악-1,,,송계오토캠핑장 계곡 뒤,128.07956666,36.88276666,157m,작동
북한산,북한-4,,,우이령,126.99953333,37.68116666,,작동
북한산,북한-6,,,산성고정조사구-1지점,126.9555,37.64823333,,작동
북한산,북한-5,,,수유지구,127.0014,37.64323333,,작동
북한산,북한-3,,,우이고정조사구 1지점,126.9641,37.64783333,,작동
북한산,북한-2,,,구기분소,126.9616,37.6166,,작동
북한산,북한-1,,,정릉고정조사구 1지점,126.9937778,37.6252778,,작동
북한산도봉,북도-1,,,8번격자,127.03773333,37.7053,,작동
북한산도봉,북도-3,,,4번격자,127.03643333,37.72306666,,작동
소백산,소백-2,,,제2주차장,128.4569,36.9153,,작동
소백산,소백-1,,,연화봉,128.4608,36.93443333,,작동
소백산,소백-4,,,고치령,128.58913333,37.0136,,작동
소백산,소백-3,,,죽령옛길입구,128.4506,36.89583333,,작동
소백산북부,소북-4,,,묘적령,128.44863333,36.84943333,,작동
소백산북부,소북-3,,,주목군락지,128.48106666,36.9586,,작동
소백산북부,소북-2,,,천동쉼터,128.4628,36.9597,,작동
소백산북부,소북-1,,,천동자연관찰로 입구,128.42696666,36.9606,,작동
월출산,월출-1,,,도갑습지 내,126.66686666,34.7542,,작동
월출산,월출-3,,,구름다리,126.7123,34.76866666,,작동
월출산,월출-2,,,천황 탐방로 입구,126.71876666,34.77416666,,작동
월출산,월출-4,,,천황봉,126.7044,34.76706666,,작동
변산반도,변산-3,,,닭이봉 고정조사구 10,126.46686666,35.62576666,,작동
변산반도,변산-4,,,내소사 청련암 고정조사구 12,126.58693333,35.61996666,,작동
변산반도,변산-2,,,특별보호구 지역 고정조사구 7,126.59923333,35.64333333,,작동
변산반도,변산-1,,,월정약수 근처 고정조사구 2,126.64933333,35.6557,,작동
경주,경주-7,,,남산지구,129.23026666,35.76906666,,작동
경주,경주-6,,,대본지구,129.64973333,35.74543333,,작동
경주,경주-5,,,토함산지구,129.39933333,35.79773333,,작동
경주,경주-4,,,토함산지구,129.3543,35.78116666,,작동
경주,경주-3,,,토함산지구,129.33913333,35.82246666,,작동
경주,경주-2,,,남산지구,129.22866666,35.7659,,작동
경주,경주-1,,,단석산지구,129.07166666,35.79133333,,작동
무등산동부,무동-1,,,도원마을,127.027366666667,35.1148,406,작동
무등산동부,무동-3,,,서석대,127.0033,35.1208666666667,1085,작동
무등산동부,무동-2,,,규봉암,127.0163,35.1181666666667,836,작동
국립공원연구원,연구-1,,,연구원 앞,127.4616417,35.3893556,229,작동
산악안전교육센터,산악안전-1,,,산악안전,127.87766666,36.73983333,30,작동
산악안전교육센터,산악안전-2,,,산악안전,127.5597,35.2694666666667,40,작동
